,JID#,SERIES,SHOT,SHOT_CODE,YEAR,MON,DAY,TIME,SITE,LAT,LON,HOLE,HOB,GZALT,TYPE,PUR,YD-MN,YD-MX,YIELD,MAG,DEVICE,WARHEAD,SPONSOR,NATION,UNIX_TIME,GTUNE_ID
0,US1,Trinity,Trinity,,1945,JUL,16,11:29:21.0,NM,33.6753,-106.4747,,30,,AS-T,WR,21,,21,,, Fat Man,LANL,US,-771942639.0,194507161129
1,US2,Alberta,Little Boy,,1945,AUG,5,23:16:02.0,-JP,34.3914,132.4581,,580,,A-AD,C,15,,15,,, Little Boy,DOD,US,-770172238.0,194508052316
2,US3,Alberta,Fat Man,,1945,AUG,9,01:58:00.0,-JP,32.7702,129.8657,,503,,A-AD,C,21,,21,,, Mk-3,DOD,US,-769903320.0,194508090158
3,US4,Crossroads,Able,,1946,JUN,30,21:01:00.0,BK,11.58,165.5,,158,,A-AD,WE,21,,21,,, Mk-3A,LANL,US,-741754740.0,194606302101
4,US5,Crossroads,Baker,,1946,JUL,24,21:34:59.8,BK,11.5833,165.5,,-27,,UW,WE,21,,21,,, Mk-3A,LANL,US,-739679100.2,194607242134
5,US6,Sandstone,X-ray,,1948,APR,14,18:16:59.0,EN,11.67,162.24,,60,,AS-T,WR,37,,37,,, Mk-3,LANL,US,-685258981.0,194804141816
6,US7,Sandstone,Yoke,,1948,APR,30,18:08:59.0,EN,11.62,162.33,,60,,AS-T,WR,49,,49,,, Mk-3,LANL,US,-683877061.0,194804301808
7,US8,Sandstone,Zebra,,1948,MAY,14,18:04:00.0,EN,11.56,162.35,,60,,AS-T,WR,18,,18,,, Mk-3,LANL,US,-682667760.0,194805141804
8,USSR1,1949,1 Pervaya Molniya (Joe I),,1949,AUG,29,00:00:00,STS-GZ,50.44,77.82,,30,,AS-T,WR,22,,22,,,,KB-11,USSR,-641952000.0,194908290000
9,USSR2,1950,,X,1950,JAN,1,00:00:00,STS,50,78.0,,,,AS-T,,,,0,,,,KB-11,USSR,-631152000.0,195001010000
10,US9,Ranger,Able,,1951,JAN,27,13:44:51.0,NTS-FF,36.8,-115.95,5,320,,A-AD,WR,1,,1,,, Mk-4,LANL,US,-597320109.0,195101271344
11,US10,Ranger,Baker,,1951,JAN,28,13:52:04.5,NTS-FF,36.8,-115.95,5,330,,A-AD,WR,8,,8,,, Mk-4,LANL,US,-597233275.5,195101281352
12,US11,Ranger,Easy,,1951,FEB,1,13:46:39.5,NTS-FF,36.8,-115.95,5,330,,A-AD,WR,1,,1,,, Mk-4,LANL,US,-596888000.5,195102011346
13,US12,Ranger,Baker-2,,1951,FEB,2,13:48:48.0,NTS-FF,36.8,-115.95,5,340,,A-AD,WR,8,,8,,, Mk-4,LANL,US,-596801472.0,195102021348
14,US13,Ranger,Fox,,1951,FEB,6,13:46:55.0,NTS-FF,36.8,-115.95,5,440,,A-AD,WR,22,,22,,, Mk-6,LANL,US,-596455985.0,195102061346
15,US14,Greenhouse,Dog,,1951,APR,7,17:33:57.8,EN,11.5558,162.3544,,91,,AS-T,WR,81,,81,,, Mk-6D,LANL,US,-591258362.2,195104071733
16,US15,Greenhouse,Easy,,1951,APR,20,17:27:00.1,EN,11.6689,162.2403,,91,,AS-T,WR,47,,47,,, TX-5D,LANL,US,-590135579.9,195104201727
17,US16,Greenhouse,George,,1951,MAY,8,20:30:00.7,EN,11.6269,162.3147,,62,,AS-T,WR,225,,225,,,,LANL,US,-588569399.3,195105082030
18,US17,Greenhouse,Item,,1951,MAY,24,17:16:59.3,EN,11.673,162.2486,,62,,AS-T,WR,45.5,,45.5,,,,LANL,US,-587198580.7,195105241716
19,USSR3,1951,2 Vtoraya Molniya (Joe 2),,1951,SEP,24,06:19:00,STS,50,78.0,,30,,AS-T,WR,38,,38.3,,,,KB-12,USSR,-576610860.0,195109240619
20,USSR4,1951,3 (Joe 3),,1951,OCT,18,03:53:00,STS,50,78.0,,380,,A-AD,WR,42,,42,,,,KB-13,USSR,-574546020.0,195110180353
21,US18,Buster,Able,,1951,OCT,22,14:00:00.0,NTS-YF,37.0839,-116.0239,7,30,,AS-T,WR,0,0.1,0.05,,,,LANL,US,-574164000.0,195110221400
22,US19,Buster,Baker,,1951,OCT,28,15:20:08.9,NTS-YF,37.085,-116.02,7,340,,A-AD,WR,3.5,,3.5,,, Mk-4,LANL,US,-573640791.1,195110281520
23,US20,Buster,Charlie,,1951,OCT,30,15:00:29.8,NTS-YF,37.085,-116.0203,7,350,,A-AD,WR,14,,14,,, Mk-4,LANL,US,-573469170.2,195110301500
24,US21,Buster,Dog,,1951,NOV,1,15:30:01.6,NTS-YF,37.0847,-116.0197,7,430,,A-AD,WR,21,,21,,, Mk-4,LANL,US,-573294598.4,195111011530
25,US22,Buster,Easy,,1951,NOV,5,16:29:58.2,NTS-YF,37.0919,-116.0244,7,400,,A-AD,WR,31,,31,,, TX-7E,LANL,US,-572945401.8,195111051629
26,US23,Jangle,Sugar,,1951,NOV,19,16:59:59.7,NTS-YF,37.1317,-116.0386,9,1.1,,AS,WE,1.2,,1.2,,, Mk-6,LANL,US,-571734000.3,195111191659
27,US24,Jangle,Uncle,,1951,NOV,29,19:59:59.7,NTS-YF,37.1697,-116.0425,10,-10,1283,CR,WE,1.2,,1.2,,,,LANL,US,-570859200.3,195111291959
28,US25,Tumbler,Able,,1952,APR,1,17:00:07.5,NTS-FF,36.7983,-115.9356,5,240,,A-AD,WE,1,,1,,, Mk-4,LANL,US,-560156392.5,195204011700
29,US26,Tumbler,Baker,,1952,APR,15,17:29:57.1,NTS-YF,37.0842,-116.0194,7,340,,A-AD,WE,1,,1,,, Mk-4,LANL,US,-558945002.9,195204151729
30,US27,Tumbler,Charlie,,1952,APR,22,17:30:10.0,NTS-YF,37.0844,-116.0203,7,1050,,A-AD,WR,31,,31,,, Mk-4,LANL,US,-558340190.0,195204221730
31,US28,Snapper,Dog,,1952,MAY,1,16:29:59.1,NTS-YF,37.0842,-116.0203,7,320,,A-AD,WR,19,,19,,, TX-7,LANL,US,-557566200.9,195205011629
32,US29,Snapper,Easy,,1952,MAY,7,12:14:59.3,NTS-YF,37.0531,-116.1056,1,90,,AS-T,WR,12,,12,,, TX-12,LANL,US,-557063100.7,195205071214
33,US30,Snapper,Fox,,1952,MAY,25,11:59:59.6,NTS-YF,37.0956,-116.1056,4,90,,AS-T,WR,11,,11,,, Mk-5,LANL,US,-555508800.4,195205251159
34,US31,Snapper,George,,1952,JUN,1,11:54:59.8,NTS-YF,37.0481,-116.0211,3,90,,AS-T,WR,15,,15,,, Mk-5,LANL,US,-554904300.2,195206011154
35,US32,Snapper,How,,1952,JUN,5,11:55:00.3,NTS-YF,37.1386,-116.1178,2,90,,AS-T,WR,14,,14,,, TX-12,LANL,US,-554558699.7,195206051155
36,UK1,Hurricane,Hurricane,,1952,OCT,3,00:59:24,MB -,20.397,115.5584,,-2.7,-12,AW-BG,WE,25,,25,,,,,UK,-544230036.0,195210030059
37,US33,Ivy,Mike,,1952,OCT,31,19:14:59.4,EN,11.2372,162.1964,,10,,AS,WR,10400,,10400,,,,LANL,US,-541745100.6,195210311914
38,US34,Ivy,King,,1952,NOV,15,23:30:00.0,EN,11.5622,162.3525,,450,,A-AD,WR,500,,500,,, Mk-18F,LANL,US,-540433800.0,195211152330
39,US35,Upshot-Knothole,Annie,,1953,MAR,17,13:20:00.3,NTS-YF,37.0478,-116.0211,3,90,,AS-T,WR,16,,16,,, Mk-5,LANL,US,-529929599.7,195303171320
40,US36,Upshot-Knothole,Nancy,,1953,MAR,24,13:10:00.0,NTS-YF,37.0956,-116.1028,4,90,,AS-T,WR,24,,24,,, TX-15,LANL,US,-529325400.0,195303241310
41,US37,Upshot-Knothole,Ruth,,1953,MAR,31,13:00:00.0,NTS-YF,37.0828,-116.0239,7,90,,AS-T,WR,0.2,,0.2,,,,LLNL,US,-528721200.0,195303311300
42,US38,Upshot-Knothole,Dixie,,1953,APR,6,15:29:38.4,NTS-YF,37.0847,-116.018,7,1830,,A-AD,WR,11,,11,,, Mk-5D,LANL,US,-528193821.6,195304061529
43,US39,Upshot-Knothole,Ray,,1953,APR,11,12:44:59.8,NTS-YF,37.0989,-116.0925,4,30,,AS-T,WR,0.2,,0.2,,,,LLNL,US,-527771700.2,195304111244
44,US40,Upshot-Knothole,Badger,,1953,APR,18,12:35:00.0,NTS-YF,37.1383,-116.1178,2,90,,AS-T,WR,23,,23,,, TX-16,LANL,US,-527167500.0,195304181235
45,US41,Upshot-Knothole,Simon,,1953,APR,25,12:29:59.8,NTS-YF,37.0531,-116.1028,1,90,,AS-T,WR,43,,43,,, TX-17/24,LLNL,US,-526563000.2,195304251229
46,US42,Upshot-Knothole,Encore,,1953,MAY,8,15:29:55.4,NTS-FF,36.8,-115.9289,5,740,,A-AD,WE,27,,27,,, Mk-6D,LANL,US,-525429004.6,195305081529
47,US43,Upshot-Knothole,Harry,,1953,MAY,19,12:04:59.5,NTS-YF,37.0403,-116.0253,3,90,,AS-T,WR,32,,32,,, TX-13D,LANL,US,-524490900.5,195305191204
48,US44,Upshot-Knothole,Grable,,1953,MAY,25,15:30:00.3,NTS-FF,36.7931,-115.9147,5,160,,A,WR,15,,15,,, Mk-9 AFAP,LANL,US,-523960199.7,195305251530
49,US45,Upshot-Knothole,Climax,,1953,JUN,4,11:14:56.7,NTS-YF,37.0875,-116.0183,7,410,,A-AD,WR,61,,61,,, Mk-7,LANL,US,-523111503.3,195306041114
50,USSR5,1953,4 (Joe 4),,1953,AUG,12,00:00:00,STS,50,78.0,,30,,AS-T,WR,400,,400,,,,KB-14,USSR,-517190400.0,195308120000
51,USSR6,1953,5 (Joe 5),,1953,AUG,23,02:00:00,STS,50,78.0,,600,,A-AD,WR,28,,28,,,,KB-15,USSR,-516232800.0,195308230200
52,USSR7,1953,6 (Joe 6?),,1953,SEP,3,00:00:00,STS,50,78.0,,255,,A,WR,5.8,,5.8,,,,KB-16,USSR,-515289600.0,195309030000
53,USSR8,1953,7,,1953,SEP,8,00:00:00,STS,50,78.0,,220,,A,WR,1.6,,1.6,,,,KB-17,USSR,-514857600.0,195309080000
54,USSR9,1953,8 (Joe 7?),,1953,SEP,10,00:00:00,STS,50,78.0,,220,,A,WR,4.9,,4.9,,,,KB-18,USSR,-514684800.0,195309100000
55,UK2,Totem,Totem T1,,1953,OCT,14,21:30:00,SAU-EF -,28.6985,132.3716,,31,300,AS-T,WR,10,,10,,, Blue Danube,,UK,-511669800.0,195310142130
56,UK3,Totem,Totem T2,,1953,OCT,26,21:30:00,SAU-EF -,28.7123,132.3773,,31,310,AS-T,WR,8,,8,,, Blue Danube?,,UK,-510633000.0,195310262130
57,US46,Castle,Bravo,,1954,FEB,28,18:45:00.0,BK,11.6908,165.2736,,2,,AS,WR,15000,,15000,,, TX-21,LANL,US,-499842900.0,195402281845
58,US47,Castle,Romeo,,1954,MAR,26,18:30:00.4,BK,11.6908,165.273,,4.3,,AW-BG,WR,11000,,11000,,, EC17,LANL,US,-497597399.6,195403261830
59,US48,Castle,Koon,,1954,APR,6,18:20:00.4,BK,11.4967,165.3675,,2.9,,AS,WR,110,,110,,,,LLNL,US,-496647599.6,195404061820
60,US49,Castle,Union,,1954,APR,25,18:10:00.6,BK,11.6664,165.3872,,4,,AW-BG,WR,6900,,6900,,,,LANL,US,-495006599.4,195404251810
61,US50,Castle,Yankee,,1954,MAY,4,18:10:00.1,BK,11.6656,165.3869,,4.3,,AW-BG,WR,13500,,13500,,, EC24,LANL,US,-494228999.9,195405041810
62,US51,Castle,Nectar,,1954,MAY,13,18:20:00.1,EN,11.6705,162.1964,,4.3,,AW-BG,WR,1690,,1690,,, TX-15,LANL,US,-493450799.9,195405131820
63,USSR10,1954,9 (Joe 8?),,1954,SEP,14,06:33:00,-RU-O,52.6,52.84,,350,,A-AD,ME,40,,40,,,,KB-19,USSR,-482779620.0,195409140633
64,USSR11,1954,10,,1954,SEP,29,00:00:00,STS,50,78.0,,210,,A,WR,0.2,,0.2,,,,KB-20,USSR,-481507200.0,195409290000
65,USSR12,1954,11,,1954,OCT,1,00:00:00,STS,50,78.0,,105,,A,WR,0.03,,0.03,,,,KB-21,USSR,-481334400.0,195410010000
66,USSR13,1954,12 (Joe 9?),,1954,OCT,3,00:00:00,STS,50,78.0,,130,,A,WR,2,,2,,,,KB-22,USSR,-481161600.0,195410030000
67,USSR14,1954,13 (Joe 10?),,1954,OCT,5,03:00:00,STS,50,78.0,,0,,AS,WR,4,,4,,,,KB-23,USSR,-480978000.0,195410050300
68,USSR15,1954,14 (Joe 11?),,1954,OCT,8,00:00:00,STS,50,78.0,,295,,A,WR,0.8,,0.8,,,,KB-24,USSR,-480729600.0,195410080000
69,USSR16,1954,15,,1954,OCT,19,00:00:00,STS,50,78.0,,15,,AS-T,WR,0,0.001,0.001,,,,KB-25,USSR,-479779200.0,195410190000
70,USSR17,1954,16 (Joe 12?),,1954,OCT,23,00:00:00,STS,50,78.0,,410,,A,WR,62,,62,,,,KB-26,USSR,-479433600.0,195410230000
71,USSR18,1954,17 (Joe 13?),,1954,OCT,26,00:00:00,STS,50,78.0,,110,,A,WR,2.8,,2.8,,,,KB-27,USSR,-479174400.0,195410260000
72,USSR19,1954,18 (Joe 14?),,1954,OCT,30,04:00:00,STS,50,78.0,,55,,AS-AD,WR,10,,10,,,,KB-28,USSR,-478814400.0,195410300400
73,US52,Teapot,Wasp,,1955,FEB,18,19:59:59.2,NTS-YF,37.0867,-116.0219,7,230,,A-AD,WE,1,,1,,,,LANL,US,-469166400.8,195502181959
74,USSR20,1955,,X,1955,FEB,20,00:00:00,,,,,,,A-R,,,,0,,,,KB-29,USSR,-469065600.0,195502200000
75,US53,Teapot,Moth,,1955,FEB,22,13:45:00.0,NTS-YF,37.0478,-116.0211,3,90,,AS-T,WR,2,,2,,, XW-30?,LANL,US,-468843300.0,195502221345
76,US54,Teapot,Tesla,,1955,MAR,1,13:30:00.3,NTS-YF,37.1255,-116.0475,9,90,,AS-T,WR,7,,7,,,,LLNL,US,-468239399.7,195503011330
77,US55,Teapot,Turk,,1955,MAR,7,13:20:00.2,NTS-YF,37.1383,-116.1175,2,150,,AS-T,WR,43,,43,,,,LLNL,US,-467721599.8,195503071320
78,US56,Teapot,Hornet,,1955,MAR,12,13:19:59.8,NTS-YF,37.0403,-116.0253,3,90,,AS-T,WR,4,,4,,, XW-30?,LANL,US,-467289600.2,195503121319
79,US57,Teapot,Bee,,1955,MAR,22,13:04:59.9,NTS-YF,37.0947,-116.0239,7,150,,AS-T,WR,8,,8,,, XW-25?,LANL,US,-466426500.1,195503221304
80,US58,Teapot,Ess,,1955,MAR,23,20:30:00.0,NTS-YF,37.1683,-116.0439,10,-20,1280,CR,WE,1,,1,,, Mk-6,LANL,US,-466313400.0,195503232030
81,US59,Teapot,Apple-1,,1955,MAR,29,12:55:00.1,NTS-YF,37.0956,-116.1028,4,150,,AS-T,WR,14,,14,,,,LANL,US,-465822299.9,195503291255
82,US60,Teapot,Wasp Prime,,1955,MAR,29,17:59:54.8,NTS-YF,37.0867,-116.0578,7,230,,A-AD,WR,3,,3,,,,LANL,US,-465804005.2,195503291759
83,US61,Teapot,HA (High Altitude),,1955,APR,6,18:00:04.1,NTS-YF,37.0286,-116.0578,1,11160,,A-AD,WE,3,,3,,,,LANL,US,-465112795.9,195504061800
84,US62,Teapot,Post,,1955,APR,9,12:30:00.2,NTS-YF,37.1222,-116.0344,9,90,,AS-T,WR,2,,2,,,,LLNL,US,-464873399.8,195504091230
85,US63,Teapot,MET,,1955,APR,15,19:15:00.3,NTS-FF,36.7981,-115.9289,5,120,,AS-T,WE,22,,22,,, Mk-7,LANL,US,-464330699.7,195504151915
86,US64,Teapot,Apple-2,,1955,MAY,5,12:10:00.0,NTS-YF,37.0531,-116.1025,1,150,,AS-T,WR,29,,29,,,,LANL,US,-462628200.0,195505051210
87,US65,Wigwam,Wigwam,,1955,MAY,14,20:00:00.0,-PAC,28.7333,-126.2667,,-610,,UW,WE,30,,30,,,,LANL,US,-461822400.0,195505142000
88,US66,Teapot,Zucchini,,1955,MAY,15,11:59:59.9,NTS-YF,37.0947,-116.0239,7,150,,AS-T,WR,28,,28,,,,LANL,US,-461764800.1,195505151159
89,USSR21,1955,19 (Joe 15),,1955,JUL,29,02:00:00,STS,50,78.0,,2.5,,AS,WR,1.3,,1.3,,,,KB-30,USSR,-455320800.0,195507290200
90,USSR22,1955,20 (Joe 16),,1955,AUG,2,03:00:00,STS,50,78.0,,2.5,,AS,WR,12,,12,,,,KB-11,USSR,-454971600.0,195508020300
91,USSR23,1955,21,,1955,AUG,5,00:00:00,STS,50,78.0,,1.5,,AS,WR,1.2,,1.2,,,,KB-11,USSR,-454723200.0,195508050000
92,USSR24,1955,22 (Joe 17),,1955,SEP,21,00:00:00,NZ-CB,70.7,54.56,,-10,-90,UW-B,WE,3.5,,3.5,,,,KB-11,USSR,-450662400.0,195509210000
93,USSR25,1955,,X,1955,SEP,21,00:00:00,STS,50,78.0,,,,AS,,,,0,,,,,USSR,-450662400.0,195509210000
94,US67,Project 56,Project 56 No. 1,,1955,NOV,1,22:10,NTS-FF,36.9,-115.95, 11a,0,,AS,SE,0,,0,,, TX-39 pr?,LANL,US,-447040200.0,195511012210
95,US68,Project 56,Project 56 No. 2,,1955,NOV,3,21:15,NTS-FF,36.9,-115.95, 11b,0,,AS,SE,0,,0,,, XW-25,LANL,US,-446870700.0,195511032115
96,US69,Project 56,Project 56 No. 3,,1955,NOV,5,19:55,NTS-FF,36.9,-115.95, 11c,0,,AS,SE,0,,0,,, XW-28 pr,LANL,US,-446702700.0,195511051955
97,USSR26,1955,23 (Joe 18),,1955,NOV,6,04:50:00,STS,50,78.0,,1000,,A,WR,250,,250,,,,KB-11,USSR,-446670600.0,195511060450
98,USSR27,1955,24 (Joe 19),,1955,NOV,22,00:00:00,STS,50,78.0,,1550,,A-AD,WR,1600,,1600,,,,KB-11,USSR,-445305600.0,195511220000
99,US70,Project 56,Project 56 No. 4,,1956,JAN,18,21:30,NTS-FF,36.9,-115.95, 11d,0,,AS,SE,0,20,0.01,,, XW-28 pr,LANL,US,-440303400.0,195601182130
100,USSR28,1956,25,,1956,FEB,2,00:00:00,MTR,46,62.0,,,,AS-R,WE,0.3,,0.3,,,,,USSR,-439084800.0,195602020000
101,USSR29,1956,26,,1956,MAR,16,05:00:00,STS,50,78.0,,0.4,,AS,WR,14,,14,,,,,USSR,-435351600.0,195603160500
102,USSR30,1956,27,,1956,MAR,25,00:00:00,STS,50,78.0,,1,,AS,WR,5.5,,5.5,,,,,USSR,-434592000.0,195603250000
103,US71,Redwing,Lacrosse,,1956,MAY,4,18:25:29.9,EN,11.5578,162.355,,5,,AS,WR,40,,40,,, TX-39 pr,LANL,US,-431069670.1,195605041825
104,UK4,Mosaic,Mosaic G1,,1956,MAY,16,03:50:00,MB -,20.3819,115.5479,,31,4,AS-T,WR?,15,,15,,,,,UK,-430085400.0,195605160350
105,US72,Redwing,Cherokee,,1956,MAY,20,17:50:38.7,BK,11.6683,165.3942,,1320,,A-AD,WR,3800,,3800,,, TX-15/39,LANL,US,-429689361.3,195605201750
106,US73,Redwing,Zuni,,1956,MAY,27,17:56:00.3,BK,11.4967,165.3692,,3,,AS,WR,3500,,3500,,, TX-41,LLNL,US,-429084239.7,195605271756
107,US74,Redwing,Yuma,,1956,MAY,27,19:56,EN,11.62,162.33,,60,,AS-T,WR,0.19,,0.19,,,,LLNL,US,-429077040.0,195605271956
108,US75,Redwing,Erie,,1956,MAY,30,18:15:29.3,EN,11.5444,162.3644,,90,,AS-T,WR,14.9,,14.9,,, TX-28C,LANL,US,-428823870.7,195605301815
109,US76,Redwing,Seminole,,1956,JUN,6,00:55:30.0,EN,11.6764,162.2222,,2,,AS,WR,13.7,,13.7,,, TX-28 pr,LANL,US,-428281470.0,195606060055
110,US77,Redwing,Flathead,,1956,JUN,11,18:26:00.1,BK,11.6,165.4514,,4.5,,AW-BG,WR,365,,365,,,,LANL,US,-427786439.9,195606111826
111,US78,Redwing,Blackfoot,,1956,JUN,11,18:26:00.3,EN,11.5511,162.3586,,60,,AS-T,WR,8,,8,,,,LANL,US,-427786439.7,195606111826
112,US79,Redwing,Kickapoo,,1956,JUN,13,23:26,EN,11.62,162.33,,90,,AS-T,WR,1.49,,1.49,,,,LLNL,US,-427595640.0,195606132326
113,US80,Redwing,Osage,,1956,JUN,16,01:13:53.1,EN,11.5467,162.3608,,210,,A-AD,WR,1.7,,1.7,,, XW-25,LANL,US,-427416366.9,195606160113
114,UK5,Mosaic,Mosaic G2,,1956,JUN,19,02:14:00,MB -,20.4061,115.5361,,31,8,AS-T,,60,,98,,,,,UK,-427153560.0,195606190214
115,US81,Redwing,Inca,,1956,JUN,21,21:26,EN,11.63,162.35,,60,,AS-T,WR,15.2,,15.2,,, XW-45,LLNL,US,-426911640.0,195606212126
116,US82,Redwing,Dakota,,1956,JUN,25,18:06:00.2,BK,11.6028,165.4514,,,,AW-BG,WR,1100,,1100,,, TX-28C,LANL,US,-426578039.8,195606251806
117,US83,Redwing,Mohawk,,1956,JUL,2,18:06,EN,11.63,162.31,,90,,AS-T,WR,360,,360,,,,LLNL,US,-425973240.0,195607021806
118,US84,Redwing,Apache,,1956,JUL,8,18:06:00.2,EN,11.6714,162.2003,,,,AW-BG,WR,1850,,1850,,, XW-27,LLNL,US,-425454839.8,195607081806
119,US85,Redwing,Navajo,,1956,JUL,10,17:56:00.3,BK,11.6633,165.3872,,6,,AW-BG,WR,4500,,4500,,, TX-21C,LANL,US,-425282639.7,195607101756
120,US86,Redwing,Tewa,,1956,JUL,20,17:46:00.0,BK,11.6739,165.3394,,4.5,,AW-BG,WR,5000,,5000,,, TX-41?,LLNL,US,-424419240.0,195607201746
121,US87,Redwing,Huron,,1956,JUL,21,18:16:00.1,EN,11.6719,162.3692,,,,AW-BG,WR,250,,250,,, XW-50?,LANL,US,-424331039.9,195607211816
122,USSR31,1956,28,,1956,AUG,24,00:15:00,STS,50,78.0,,93,,AS-T,WR,27,,27,,,,,USSR,-421458300.0,195608240015
123,USSR32,1956,29,,1956,AUG,30,00:00:00,STS,50,78.0,,1100,,A,WR,900,,900,,,,,USSR,-420940800.0,195608300000
124,USSR33,1956,30,,1956,SEP,2,00:00:00,STS,50,78.0,,1050,,A,WR,51,,51,,,,,USSR,-420681600.0,195609020000
125,USSR34,1956,31,,1956,SEP,10,00:00:00,STS,50,78.0,,270,,A,WR,38,,38,,,,,USSR,-419990400.0,195609100000
126,UK6,Buffalo,Buffalo R1/One Tree,,1956,SEP,27,07:30:00,SAU-MR -,29.8688,131.6594,,31,180,AS-T,,15,,15,,, Red Beard,,UK,-418494600.0,195609270730
127,UK7,Buffalo,Buffalo R2/Marcoo,,1956,OCT,4,07:00:00,SAU-MR -,29.8818,131.6247,,0.2,180,AS,WE,1.5,,1.5,,, Blue Danube,,UK,-417891600.0,195610040700
128,UK8,Buffalo,Buffalo R3/Kite,,1956,OCT,11,05:57:00,SAU-MR -,29.888,131.65,,150,180,A-AD,WR,3,,3,,, Blue Danube,,UK,-417290580.0,195610110557
129,UK9,Buffalo,Buffalo R4/Breakaway,,1956,OCT,22,14:35:00,SAU-MR -,29.8929,131.6048,,31,190,AS-T,,10,,10,,, Red Beard,,UK,-416309100.0,195610221435
130,USSR35,1956,32,,1956,NOV,17,00:00:00,STS,50,78.0,,2000,,A,WR,900,,900,,,,,USSR,-414115200.0,195611170000
131,USSR36,1956,33,,1956,DEC,14,00:00:00,STS,50,78.0,,1965,,A,WR,40,,40,,,,,USSR,-411782400.0,195612140000
132,USSR37,1957,34,,1957,JAN,19,00:00:00,MTR,49,46.0,,10370,,A-R,WE,10,,10,,,,,USSR,-408672000.0,195701190000
133,USSR38,1957,35,,1957,MAR,8,00:00:00,STS,50,78.0,,610,,A,WR,19,,19,,,,,USSR,-404524800.0,195703080000
134,USSR39,1957,36,,1957,APR,3,00:00:00,STS,50,78.0,,1100,,A,WR,42,,42,,,,,USSR,-402278400.0,195704030000
135,USSR40,1957,37,,1957,APR,6,00:00:00,STS,50,78.0,,1145,,A,WR,57,,57,,,,,USSR,-402019200.0,195704060000
136,USSR41,1957,38,,1957,APR,10,00:00:00,STS,50,78.0,,2000,,A,WR,680,,680,,,,,USSR,-401673600.0,195704100000
137,USSR42,1957,39,,1957,APR,12,00:00:00,STS,50,78.0,,1145,,A,WR,22,,22,,,,,USSR,-401500800.0,195704120000
138,USSR43,1957,40,,1957,APR,16,00:00:00,STS,50,78.0,,2000,,A,WR,320,,320,,,,,USSR,-401155200.0,195704160000
139,US88,Project 57,Project 57 No. 1,,1957,APR,24,14:27,NAFR,37.2,-116.1,13,,,AS,SE,0,,0,,, XW-25,LANL,US,-400411980.0,195704241427
140,UK10,Grapple,Grapple 1/Short Granite,,1957,MAY,15,19:37:00,LI-MI,-4.05,-154.9,,2400,,A-AD,WR?,300,,300,,,,,UK,-398578980.0,195705151937
141,US89,Plumbbob,Boltzmann,,1957,MAY,28,11:55:00.2,NTS-YF,37.0947,-116.0236, 7c,150,,AS-T,WR,12,,12,,, XW-40,LANL,US,-397483499.8,195705281155
142,UK11,Grapple,Grapple 2/Orange Herald,,1957,MAY,31,19:41:00,LI-MI,-4.05,-154.9,,2300,,A-AD,WR?,720,,720,,,,,UK,-397196340.0,195705311941
143,US90,Plumbbob,Franklin,,1957,JUN,2,11:54:59.9,NTS-YF,37.0478,-116.0211, T3,90,,AS-T,WR,0.14,,0.14,,, XW-30?,LANL,US,-397051500.1,195706021154
144,US91,Plumbbob,Lassen,,1957,JUN,5,11:45:00.3,NTS-YF,37.1347,-116.0408, B9a,150,,A-B,WR0,0.0005,,0.0005,,,,LLNL,US,-396792899.7,195706051145
145,US92,Plumbbob,Wilson,,1957,JUN,18,11:45:00.3,NTS-YF,37.1347,-116.0408, B9a,150,,A-B,WR,10,,10,,, XW-45X1,LLNL,US,-395669699.7,195706181145
146,UK12,Grapple,Grapple 3/Purple Granite,,1957,JUN,19,19:40:00,LI-MI,-4.05,-154.9,,2300,,A-AD,WR?,200,,200,,,,,UK,-395554800.0,195706191940
147,US93,Plumbbob,Priscilla,,1957,JUN,24,13:30:00.1,NTS-FF,36.7981,-115.9289,5,210,,A-B,WR,37,,37,,, TX-15/39 p,LANL,US,-395144999.9,195706241330
148,US94,Plumbbob,Coulomb-A,,1957,JUL,1,17:30,NTS-YF,37.04,-116.03, S3h,0,,AS,SE,0,,0,,, XW-31,LANL,US,-394525800.0,195707011730
149,US95,Plumbbob,Hood,,1957,JUL,5,11:40:00.1,NTS-YF,37.1347,-116.0408, B9a,460,,A-B,WR,74,,74,,,,LLNL,US,-394201199.9,195707051140
150,US96,Plumbbob,Diablo,,1957,JUL,15,11:30:00.1,NTS-YF,37.1503,-116.1086, T2b,150,,AS-T,WR,17,,17,,,,LLNL,US,-393337799.9,195707151130
151,US97,Plumbbob,John,,1957,JUL,19,14:00:04.6,NTS-YF,37.1606,-116.0531,10,9140,,A-R,WE,2,,2,,, W25,LANL,US,-392983195.4,195707191400
152,US98,Plumbbob,Kepler,,1957,JUL,24,11:49:59.9,NTS-YF,37.095,-116.103,4,150,,AS-T,WR,10,,10,,, XW-35 pr?,LANL,US,-392559000.1,195707241149
153,US99,Plumbbob,Owens,,1957,JUL,25,13:29:59.7,NTS-YF,37.1347,-116.0408, B9a,150,,A-B,WR,9.7,,9.7,,, XW-51?,LLNL,US,-392466600.3,195707251329
154,US100,Plumbbob,Pascal-A,,1957,JUL,26,08:00:00.0,NTS-YF,37.0518,-116.0334, U3j,-150,1202,UG-S,SE,0,20,0.01,,,,LANL,US,-392400000.0,195707260800
